Nr.,Stadtteil,Einwohner mit Migrationshintergrund,Anteil Einwohner mit Migrationshintergrund an allen Einwohnern in %,Einwohner mit Migrationshintergrund unter 18 Jahre,Anteil Einwohner mit Migrationshintergrund unter 18 Jahre an allen Einwohnern unter 18 Jahre in %
101,Altstadt-Süd,8281,30.1,1046,48.3
102,Neustadt-Süd,10221,26.7,1315,35.2
103,Altstadt-Nord,6129,34.0,621,50.4
104,Neustadt-Nord,7860,27.4,993,35.8
105,Deutz,4292,28.0,682,41.1
201,Bayenthal,2635,29.6,542,39.8
202,Marienburg,1671,29.7,377,41.0
203,Raderberg,1856,32.9,458,51.9
204,Raderthal,1020,21.3,211,28.6
205,Zollstock,6009,28.1,1184,45.2
206,Rondorf,2223,23.3,517,30.9
207,Hahnwald,414,20.0,86,20.0
208,Rodenkirchen,3443,21.6,484,24.5
209,Weiß,1026,17.3,212,19.9
210,Sürth,2431,23.0,560,26.2
211,Godorf,746,32.1,193,52.2
212,Immendorf,542,26.8,143,37.9
213,Meschenich,4465,57.6,1191,72.0
301,Klettenberg,1702,16.1,304,18.9
302,Sülz,6490,18.3,770,18.9
303,Lindenthal,5480,18.4,628,18.4
304,Braunsfeld,2196,20.5,300,24.1
305,Müngersdorf,2149,26.7,353,29.6
306,Junkersdorf,2622,20.0,462,19.4
307,Weiden,5130,31.2,1094,47.2
308,Lövenich,1548,18.0,310,21.2
309,Widdersdorf,2294,26.7,712,34.5
401,Ehrenfeld,12351,34.3,2232,54.9
402,Neuehrenfeld,6293,26.8,1229,37.2
403,Bickendorf,7079,42.6,1820,58.4
404,Vogelsang,2036,24.8,487,35.6
405,Bocklemünd/Mengenich,3928,38.0,1045,54.0
406,Ossendorf,4178,42.3,1252,54.5
501,Nippes,10055,29.0,2009,39.8
502,Mauenheim,1711,30.0,425,44.3
503,Riehl,3056,27.3,532,41.2
504,Niehl,7622,39.4,1839,56.8
505,Weidenpesch,4786,34.7,1110,54.7
506,Longerich,3225,24.2,702,35.9
507,Bilderstöckchen,7251,47.4,1969,63.9
601,Merkenich,1606,28.1,437,41.9
602,Fühlingen,389,18.5,74,19.2
603,Seeberg,7215,64.8,1724,75.6
604,Heimersdorf,1251,21.4,260,33.7
605,Lindweiler,1305,37.5,319,47.6
606,Pesch,1778,23.2,353,34.2
607,Esch/Auweiler,1333,20.6,300,26.0
608,Volkhoven/Weiler,3340,55.5,907,65.6
609,Chorweiler,9769,76.2,2426,84.1
610,Blumenberg,3744,64.7,937,69.7
611,Roggendorf/Thenhoven,1483,38.1,372,49.5
612,Worringen,2177,23.3,519,31.7
701,Poll,3223,28.4,797,42.8
702,Westhoven,1348,27.8,271,41.1
703,Ensen,2211,31.4,506,45.4
704,Gremberghoven,1731,60.3,511,81.2
705,Eil,3181,35.6,795,54.5
706,Porz,6894,48.2,1609,66.4
707,Urbach,4376,36.7,998,52.9
708,Elsdorf,461,29.4,119,41.2
709,Grengel,1791,33.5,401,48.6
710,Wahnheide,2032,26.6,460,41.7
711,Wahn,1942,31.0,560,45.2
712,Lind,774,22.7,169,33.9
713,Libur,186,17.3,50,22.0
714,Zündorf,3195,26.7,773,39.1
715,Langel,401,12.6,60,11.4
716,Finkenberg,5152,78.0,1318,90.2
801,Humboldt/Gremberg,8189,53.7,1904,76.5
802,Kalk,12474,57.2,2912,81.6
803,Vingst,7160,57.0,2090,74.6
804,Höhenberg,6409,52.3,1468,73.8
805,Ostheim,6381,57.1,1749,73.2
806,Merheim,3973,38.9,1139,53.7
807,Brück,1869,18.9,413,25.6
808,Rath/Heumar,2004,17.9,431,25.5
809,Neubrück,4567,52.4,1208,71.1
901,Mülheim,20336,49.0,4569,69.3
902,Buchforst,3649,49.9,874,70.5
903,Buchheim,6133,48.4,1613,68.1
904,Holweide,7516,36.1,1909,50.7
905,Dellbrück,4172,19.5,882,25.4
906,Höhenhaus,3842,25.8,992,37.4
907,Dünnwald,3738,32.5,1115,48.2
908,Stammheim,2741,37.6,586,50.6
909,Flittard,1984,25.3,506,38.4
